NetWork,Classifier,Fine Tune,Train Res,Val_Res,Test Res
Res50,default,False,"[0.9501261115074158, 0.987365186214447, 0.9953113198280334, 0.9989370107650757, 0.9991492033004761, 0.9995747804641724, 0.9997875690460205, 0.9997875690460205, 1.0, 0.999786913394928]","[0.9921506643295288, 0.9788468480110168, 0.9844988584518433, 0.9903849363327026, 0.9941980838775635, 0.9884839057922363, 0.9885021448135376, 0.9903556704521179, 0.9904178380966187, 0.9923371076583862]","[8.50199031829834, 0.8037809133529663]"
MobileNetV3Small,default,False,"[0.9529293179512024, 0.9955297708511353, 0.9997539520263672, 0.9999993443489075, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.997740626335144, 0.9979708790779114, 0.9998391270637512, 0.999937891960144, 0.9999378323554993, 0.9999452233314514, 0.9999232292175293, 0.9999232888221741, 0.9999232888221741, 0.9999342560768127]","[2.5102598667144775, 0.808681070804596]"
efficientnetv2s,default,False,"[0.9641395807266235, 0.9939999580383301, 0.9984181523323059, 0.9992277026176453, 0.999538004398346, 0.9989058971405029, 0.9974559545516968, 0.99995356798172, 0.999076247215271, 0.998841404914856]","[0.9873761534690857, 0.9975944757461548, 0.9957792162895203, 0.9960114359855652, 0.9959712028503418, 0.9941834807395935, 0.9958871006965637, 0.9978467226028442, 0.9934412240982056, 0.9938580989837646]","[2.0544919967651367, 0.8248145580291748]"
xception,default,False,"[0.8983174562454224, 0.9512422680854797, 0.9608743786811829, 0.9666086435317993, 0.9587399959564209, 0.971300482749939, 0.9780939221382141, 0.9742653369903564, 0.9840625524520874, 0.9870377779006958]","[0.9082217216491699, 0.9540231823921204, 0.9636017084121704, 0.934990406036377, 0.9655174016952515, 0.9445507526397705, 0.9616859555244446, 0.9598470330238342, 0.9750959277153015, 0.9655831456184387]","[50.59672927856445, 0.791923463344574]"
Dense121,default,False,"[0.9189951419830322, 0.9815469980239868, 0.9897719025611877, 0.9928247928619385, 0.9939764738082886, 0.9967731833457947, 0.9933213591575623, 0.9892253875732422, 0.9970182180404663, 0.9940131306648254]","[0.9824406504631042, 0.9940847754478455, 0.9942163228988647, 0.9903411269187927, 0.9746900200843811, 0.9922383427619934, 0.9495555758476257, 0.9942017197608948, 0.984575629234314, 0.9903630018234253]","[5.854488849639893, 0.7993404865264893]"
inceptionv3,default,False,"[0.9052761793136597, 0.9583141803741455, 0.9644591808319092, 0.9719129800796509, 0.9691610932350159, 0.978948712348938, 0.9723374843597412, 0.990852415561676, 0.9764128923416138, 0.9851250052452087]","[0.9541109204292297, 0.9732313752174377, 0.9080425500869751, 0.9788286089897156, 0.9711986184120178, 0.9827147722244263, 0.9520013928413391, 0.9348661303520203, 0.9655831456184387, 0.965440571308136]","[78.26445007324219, 0.7174941301345825]"
Res50,avgpool,False,"[0.9701515436172485, 0.9906280040740967, 0.9928714632987976, 0.9942469000816345, 0.9944705963134766, 0.9951246976852417, 0.9962255358695984, 0.9964637160301208, 0.9968543648719788, 0.9970322847366333]","[0.9836873412132263, 0.9887763857841492, 0.9927905201911926, 0.9931853413581848, 0.99289470911026, 0.9968486428260803, 0.9966768026351929, 0.9969363808631897, 0.9974884390830994, 0.9979052543640137]","[0.5176562666893005, 0.8900420665740967]"
MobileNetV3Small,avgpool,False,"[0.827578604221344, 0.9749974012374878, 0.9861482977867126, 0.9885956048965454, 0.9896593689918518, 0.9908297657966614, 0.9915316700935364, 0.9918028116226196, 0.9923796653747559, 0.9926620125770569]","[0.9472341537475586, 0.9782253503799438, 0.9858351349830627, 0.9897578954696655, 0.9896829724311829, 0.9891711473464966, 0.9899095296859741, 0.9911417365074158, 0.9915603399276733, 0.991079568862915]","[0.48817938566207886, 0.8794751763343811]"
efficientnetv2s,avgpool,False,"[0.9291245937347412, 0.9747679233551025, 0.9800742864608765, 0.9830595850944519, 0.9849631786346436, 0.9863285422325134, 0.986801028251648, 0.9884837865829468, 0.9893187880516052, 0.9896020889282227]","[0.9623056054115295, 0.9750537872314453, 0.9784191250801086, 0.9800058007240295, 0.9862463474273682, 0.9854806065559387, 0.9883742928504944, 0.9886630177497864, 0.9898219704627991, 0.9896866083145142]","[0.501126766204834, 0.8847207427024841]"
xception,avgpool,False,"[0.8868421316146851, 0.9536405801773071, 0.9701467156410217, 0.971554160118103, 0.9719389081001282, 0.97676020860672, 0.9810006022453308, 0.9799983501434326, 0.9825283885002136, 0.98406583070755]","[0.949303388595581, 0.9439527988433838, 0.9734251499176025, 0.9754999279975891, 0.9752366542816162, 0.979095458984375, 0.9796987771987915, 0.9803842306137085, 0.9792288541793823, 0.980462908744812]","[0.761794924736023, 0.848380446434021]"
Dense121,avgpool,False,"[0.8649263381958008, 0.9664933681488037, 0.9794175624847412, 0.9825656414031982, 0.986207127571106, 0.9880748391151428, 0.9899110794067383, 0.9902677536010742, 0.9915488958358765, 0.9915276169776917]","[0.9289690852165222, 0.9656344056129456, 0.9606167078018188, 0.9807040691375732, 0.9846158623695374, 0.9815157651901245, 0.9788286685943604, 0.986952006816864, 0.9880927205085754, 0.9905749559402466]","[0.5800138115882874, 0.8587805032730103]"
inceptionv3,avgpool,False,"[0.8368543982505798, 0.9449484944343567, 0.9678410291671753, 0.9649860262870789, 0.9722163081169128, 0.9768193364143372, 0.9701796174049377, 0.9727786779403687, 0.978194534778595, 0.9804983735084534]","[0.8864672183990479, 0.9675536751747131, 0.9692610502243042, 0.9497749209403992, 0.9807917475700378, 0.9643730521202087, 0.9738894701004028, 0.9728785753250122, 0.9826526045799255, 0.9816363453865051]","[1.042568325996399, 0.8255953788757324]"
